Nr,Pin Name,1 IN,1 OUT,2 IN,2 OUT,3 IN,3 OUT,4 IN,4 OUT,5 IN,5 OUT,6 IN,6 OUT,7 IN,7 OUT,Other,F1L 48,F1L 64,F1L 80,F1L 100,F1L 144,F1L 176,F1M 100,F1M 144,F1M 176,F1M 233,F1H 176,F1H 233,F1H 272,
123,P10_5,TAUD0I11,TAUD0O11,,RLIN21TX,KR0I3,ADCA0SEL1,,TAPA0WN,CSIG0RYI,CSIG0RYO,,,,,,3,3,3,3,3,3,3,3,3,C2,,,,
124,P10_6,TAUD0I13,TAUD0O13,,CSIG0SO,ENCA0TIN0,ADCA0SEL2,CAN1RX_INTP1,,MEMC0AD0,MEMC0AD0,,,,,,,,,,,152,,,152,A9,152,A9,A12,
124,P10_6,TAUD0I13,TAUD0O13,,CSIG0SO,ENCA0TIN0,ADCA0SEL2,CAN1RX_INTP1,,,,,,,,,,51,63,80,120,,80,120,,,,,,
124,P10_6,TAUD0I13,TAUD0O13,,CSIG0SO,ENCA0TIN0,ADCA0SEL2,,,,,,,,,,39,,,,,,,,,,,,,
125,P10_7,TAUD0I15,TAUD0O15,CSIG0SC,CSIG0SC,ENCA0TIN1,PWGA4O,,CAN1TX,MEMC0AD1,MEMC0AD1,,,,,,,,,,,153,,,153,A8,153,A8,C11,
125,P10_7,TAUD0I15,TAUD0O15,CSIG0SC,CSIG0SC,ENCA0TIN1,PWGA4O,,CAN1TX,,,,,,,,,52,64,81,121,,81,121,,,,,,
125,P10_7,TAUD0I15,TAUD0O15,CSIG0SC,CSIG0SC,ENCA0TIN1,PWGA4O,,,,,,,,,,40,,,,,,,,,,,,,
126,P10_8,TAUD0I10,TAUD0O10,CSIG0SI,FLX0TXDB,ENCA0ZIN,PWGA5O,MEMC0AD2,MEMC0AD2,,,,,,,FLMD1,,,,,,,,,154,D8,154,D8,B11,
126,P10_8,TAUD0I10,TAUD0O10,CSIG0SI,,ENCA0ZIN,PWGA5O,MEMC0AD2,MEMC0AD2,,,,,,,FLMD1,,,,,,154,,,,,,,,
126,P10_8,TAUD0I10,TAUD0O10,CSIG0SI,,ENCA0ZIN,PWGA5O,,,,,,,,,FLMD1,41,53,65,82,122,,,,,,,,,
126,P10_8,TAUD0I10,TAUD0O10,CSIG0SI,FLX0TXDB,ENCA0ZIN,PWGA5O,,,,,,,,,FLMD1,,,,,,,82,122,,,,,,
127,P10_9,TAUD0I12,TAUD0O12,RLIN30RX_INTP10,,ENCA0AIN,PWGA6O,CSIH0RYI,CSIH0RYO,MEMC0AD3,MEMC0AD3,FLX0RXDB,,,,,,,,,,,,,155,B8,155,B8,C12,
127,P10_9,TAUD0I12,TAUD0O12,RLIN30RX_INTP10,,ENCA0AIN,PWGA6O,CSIH0RYI,CSIH0RYO,MEMC0AD3,MEMC0AD3,,,,,,,,,,,155,,,,,,,,
127,P10_9,TAUD0I12,TAUD0O12,RLIN30RX_INTP10,,ENCA0AIN,PWGA6O,CSIH0RYI,CSIH0RYO,,,,,,,,42,54,66,83,123,,,,,,,,,
127,P10_9,TAUD0I12,TAUD0O12,RLIN30RX_INTP10,,ENCA0AIN,PWGA6O,CSIH0RYI,CSIH0RYO,,,FLX0RXDB,,,,,,,,,,,83,123,,,,,,
128,P10_10,TAUD0I14,TAUD0O14,,RLIN30TX,ENCA0BIN,PWGA7O,,CSIH0CSS1,MEMC0AD4,MEMC0AD4,,,,,,,,,,,156,,,156,A7,156,A7,A11,
128,P10_10,TAUD0I14,TAUD0O14,,RLIN30TX,ENCA0BIN,PWGA7O,,CSIH0CSS1,,,,,,,,43,55,67,84,124,,84,124,,,,,,
129,P10_11,,PWGA16O,RLIN31RX_INTP11,FLX0TXENA,,CSIH1CSS0,TAUB0I1,TAUB0O1,MEMC0AD5,MEMC0AD5,,,,,,,,,,,,,,157,C8,157,C8,D11,
129,P10_11,,PWGA16O,RLIN31RX_INTP11,,,CSIH1CSS0,TAUB0I1,TAUB0O1,MEMC0AD5,MEMC0AD5,,,,,,,,,,,157,,,,,,,,
129,P10_11,,PWGA16O,RLIN31RX_INTP11,,,CSIH1CSS0,TAUB0I1,TAUB0O1,,,,,,,,,,,85,125,,,,,,,,,
129,P10_11,,PWGA16O,RLIN31RX_INTP11,,,CSIH1CSS0,,,,,,,,,,,,68,,,,,,,,,,,
129,P10_11,,PWGA16O,RLIN31RX_INTP11,,,,,,,,,,,,,,56,,,,,,,,,,,,
129,P10_11,,PWGA16O,RLIN31RX_INTP11,FLX0TXENA,,CSIH1CSS0,TAUB0I1,TAUB0O1,,,,,,,,,,,,,,85,125,,,,,,
130,P10_12,,PWGA17O,FLX0STPWT,RLIN31TX,,CSIH1CSS1,TAUB0I3,TAUB0O3,MEMC0AD6,MEMC0AD6,,,,,,,,,,,,,,158,D7,158,D7,A10,
130,P10_12,,PWGA17O,,RLIN31TX,,CSIH1CSS1,TAUB0I3,TAUB0O3,MEMC0AD6,MEMC0AD6,,,,,,,,,,,158,,,,,,,,
130,P10_12,,PWGA17O,,RLIN31TX,,CSIH1CSS1,TAUB0I3,TAUB0O3,,,,,,,,,,,86,126,,,,,,,,,
130,P10_12,,PWGA17O,,RLIN31TX,,CSIH1CSS1,,,,,,,,,,,,69,,,,,,,,,,,
130,P10_12,,PWGA17O,,RLIN31TX,,,,,,,,,,,,,57,,,,,,,,,,,,
130,P10_12,,PWGA17O,FLX0STPWT,RLIN31TX,,CSIH1CSS1,TAUB0I3,TAUB0O3,,,,,,,,,,,,,,86,126,,,,,,
131,P10_13,_CSIH0SSI,PWGA18O,RLIN32RX_INTP12,FLX0TXENB,,,TAUB0I5,TAUB0O5,MEMC0AD7,MEMC0AD7,,,,,,,,,,,,,,159,A6,159,A6,C10,
131,P10_13,_CSIH0SSI,PWGA18O,RLIN32RX_INTP12,,,,TAUB0I5,TAUB0O5,MEMC0AD7,MEMC0AD7,,,,,,,,,,,159,,,,,,,,
131,P10_13,_CSIH0SSI,PWGA18O,RLIN32RX_INTP12,,,,TAUB0I5,TAUB0O5,,,,,,,,,,,87,127,,,,,,,,,
131,P10_13,_CSIH0SSI,PWGA18O,RLIN32RX_INTP12,,,,,,,,,,,,,,,70,,,,,,,,,,,
131,P10_13,_CSIH0SSI,PWGA18O,,,,,,,,,,,,,,,58,,,,,,,,,,,,
131,P10_13,_CSIH0SSI,PWGA18O,RLIN32RX_INTP12,FLX0TXENB,,,TAUB0I5,TAUB0O5,,,,,,,,,,,,,,87,127,,,,,,
132,P10_14,ADCA1TRG0,PWGA19O,FLX0RXDA,RLIN32TX,_CSIH3SSI,,TAUB0I7,TAUB0O7,MEMC0AD8,MEMC0AD8,,,,,,,,,,,,,,160,B7,160,B7,B10,
132,P10_14,ADCA1TRG0,PWGA19O,,RLIN32TX,_CSIH3SSI,,TAUB0I7,TAUB0O7,MEMC0AD8,MEMC0AD8,,,,,,,,,,,160,,,,,,,,
132,P10_14,ADCA1TRG0,PWGA19O,,RLIN32TX,_CSIH3SSI,,TAUB0I7,TAUB0O7,,,,,,,,,,,,128,,,,,,,,,
132,P10_14,,PWGA19O,,RLIN32TX,_CSIH3SSI,,TAUB0I7,TAUB0O7,,,,,,,,,,,88,,,,,,,,,,
132,P10_14,,PWGA19O,,RLIN32TX,,,,,,,,,,,,,,71,,,,,,,,,,,
132,P10_14,,PWGA19O,,,,,,,,,,,,,,,59,,,,,,,,,,,,
132,P10_14,,PWGA19O,FLX0RXDA,RLIN32TX,_CSIH3SSI,,TAUB0I7,TAUB0O7,,,,,,,,,,,,,,88,,,,,,,
132,P10_14,ADCA1TRG0,PWGA19O,FLX0RXDA,RLIN32TX,_CSIH3SSI,,TAUB0I7,TAUB0O7,,,,,,,,,,,,,,,128,,,,,,
133,P10_15,CSIH3RYI,CSIH3RYO,,PWGA24O,RLIN22RX,,TAUB0I9,TAUB0O9,,_MEMC0RD,,,,,,,,,,,6,,,6,C1,6,C1,D1,
133,P10_15,CSIH3RYI,CSIH3RYO,,PWGA24O,RLIN22RX,,TAUB0I9,TAUB0O9,,,,,,,,,,,4,4,,4,4,,,,,,
133,P10_15,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
134,P11_0,CSIH2RYI,CSIH2RYO,ADCA1TRG2,PWGA25O,,RLIN22TX,TAUB0I11,TAUB0O11,,_MEMC0WR,,,,,,,,,,,7,,,7,D2,7,D2,H4,
134,P11_0,CSIH2RYI,CSIH2RYO,ADCA1TRG2,PWGA25O,,RLIN22TX,TAUB0I11,TAUB0O11,,,,,,,,,,,,5,,,5,,,,,,
134,P11_0,CSIH2RYI,CSIH2RYO,,PWGA25O,,RLIN22TX,TAUB0I11,TAUB0O11,,,,,,,,,,,5,,,5,,,,,,,
134,P11_0,CSIH2RYI,CSIH2RYO,,,,,,,,,,,,,,,,5,,,,,,,,,,,
135,P11_1,_CSIH2SSI,FLX0TXDA,RLIN20RX,CSIH0CSS7,,PWGA26O,TAUB0I13,TAUB0O13,MEMC0AD9,MEMC0AD9,,,,,,,,,,,,,,161,A5,161,A5,A9,
135,P11_1,_CSIH2SSI,,RLIN20RX,,,PWGA26O,TAUB0I13,TAUB0O13,MEMC0AD9,MEMC0AD9,,,,,,,,,,,161,,,,,,,,
135,P11_1,_CSIH2SSI,,RLIN20RX,,,PWGA26O,TAUB0I13,TAUB0O13,,,,,,,,,,,89,129,,,,,,,,,
135,P11_1,_CSIH2SSI,,RLIN20RX,,,,,,,,,,,,,,,72,,,,,,,,,,,
135,P11_1,_CSIH2SSI,FLX0TXDA,RLIN20RX,,,PWGA26O,TAUB0I13,TAUB0O13,,,,,,,,,,,,,,89,129,,,,,,
136,P11_2,,CSIH2SO,,RLIN20TX,,PWGA27O,TAUB0I15,TAUB0O15,MEMC0AD10,MEMC0AD10,,,,,,,,,,,162,,,162,C7,162,C7,D9,
136,P11_2,,CSIH2SO,,RLIN20TX,,PWGA27O,TAUB0I15,TAUB0O15,,,,,,,,,,,90,130,,90,130,,,,,,
136,P11_2,,CSIH2SO,,RLIN20TX,,,,,,,,,,,,,,73,,,,,,,,,,,
137,P11_3,CSIH2SC,CSIH2SC,CAN3RX_INTP3,PWGA28O,TAUB1I1,TAUB1O1,MEMC0AD11,MEMC0AD11,,,,,,,,,,,,,163,,,163,B6,163,B6,C9,
137,P11_3,CSIH2SC,CSIH2SC,CAN3RX_INTP3,PWGA28O,,,,,,,,,,,,,,,91,131,,91,131,,,,,,
137,P11_3,CSIH2SC,CSIH2SC,,,,,,,,,,,,,,,,74,,,,,,,,,,,
138,P11_4,CSIH2SI,CAN3TX,,PWGA29O,TAUB1I3,TAUB1O3,MEMC0AD12,MEMC0AD12,,,,,,,,,,,,,164,,,164,B5,164,B5,B8,
138,P11_4,CSIH2SI,CAN3TX,,PWGA29O,,,,,,,,,,,,,,,92,132,,92,132,,,,,,
138,P11_4,CSIH2SI,,,,,,,,,,,,,,,,,75,,,,,,,,,,,
139,P11_5,CAN5RX_INTP5,RLIN33TX,,PWGA30O,CSIH3SI,,TAUB1I5,TAUB1O5,MEMC0AD13,MEMC0AD13,,,,,,,,,,,165,,,165,A4,165,A4,B7,
139,P11_5,CAN5RX_INTP5,RLIN33TX,,PWGA30O,CSIH3SI,,,,,,,,,,,,,,93,133,,93,133,,,,,,
140,P11_6,RLIN33RX_INTP13,CAN5TX,ADCA1TRG1,PWGA31O,,CSIH3SO,TAUB1I7,TAUB1O7,MEMC0AD14,MEMC0AD14,,,,,,,,,,,166,,,166,D6,166,D6,C7,
140,P11_6,RLIN33RX_INTP13,CAN5TX,ADCA1TRG1,PWGA31O,,CSIH3SO,,,,,,,,,,,,,,134,,,134,,,,,,
140,P11_6,RLIN33RX_INTP13,CAN5TX,,PWGA31O,,CSIH3SO,,,,,,,,,,,,,94,,,94,,,,,,,
141,P11_7,INTP5,,,PWGA32O,CSIH3SC,CSIH3SC,TAUB1I9,TAUB1O9,MEMC0AD15,MEMC0AD15,,,,,,,,,,,167,,,167,C6,167,C6,D8,
141,P11_7,INTP5,,,PWGA32O,CSIH3SC,CSIH3SC,,,,,,,,,,,,,95,135,,95,135,,,,,,
142,P11_8,_CSIG1SSI,RLIN35TX,,PWGA48O,TAUB1I11,TAUB1O11,,_MEMC0CS0,,,,,,,,,,,,,8,,,8,E3,8,E3,E2,
142,P11_8,_CSIG1SSI,RLIN35TX,,PWGA48O,,,,,,,,,,,,,,,,6,,,6,,,,,,
143,P11_9,,CSIG1SO,RLIN35RX_INTP15,PWGA49O,TAUB1I13,TAUB1O13,,_MEMC0CS1,,,,,,,,,,,,,9,,,9,D1,9,D1,F3,
143,P11_9,,CSIG1SO,RLIN35RX_INTP15,PWGA49O,,,,,,,,,,,,,,,,7,,,7,,,,,,
144,P11_10,CSIG1SC,CSIG1SC,,PWGA50O,TAUB1I15,TAUB1O15,,_MEMC0CS2,ETH0COL,,,,,,,,,,,,,,,,,10,E2,G3,
144,P11_10,CSIG1SC,CSIG1SC,,PWGA50O,TAUB1I15,TAUB1O15,,_MEMC0CS2,,,,,,,,,,,,,10,,,10,E2,,,,
144,P11_10,CSIG1SC,CSIG1SC,,PWGA50O,,,,,,,,,,,,,,,,8,,,8,,,,,,
145,P11_11,CSIG1SI,RLIN25TX,,PWGA51O,TAUB1I0,TAUB1O0,,_MEMC0CS3,ETH0RXDV,,,,,,,,,,,,,,,,,11,F3,G2,
145,P11_11,CSIG1SI,RLIN25TX,,PWGA51O,TAUB1I0,TAUB1O0,,_MEMC0CS3,,,,,,,,,,,,,11,,,11,F3,,,,
145,P11_11,CSIG1SI,RLIN25TX,,PWGA51O,,,,,,,,,,,,,,,,9,,,9,,,,,,
146,P11_12,RLIN25RX,,,PWGA52O,TAUB1I2,TAUB1O2,_MEMC0WAIT,,,,,,,,,,,,,,12,,,12,E1,12,E1,J4,
146,P11_12,RLIN25RX,,,PWGA52O,,,,,,,,,,,,,,,,10,,,10,,,,,,
147,P11_13,RLIN24RX,,,PWGA53O,TAUB1I4,TAUB1O4,,_MEMC0BEN0,ETH0CRS,,ETH0RCRS,,CSIG2RYI,CSIG2RYO,,,,,,,,,,,,13,F2,H1,
147,P11_13,RLIN24RX,,,PWGA53O,TAUB1I4,TAUB1O4,,_MEMC0BEN0,,,,,,,,,,,,,13,,,13,F2,,,,
147,P11_13,RLIN24RX,,,PWGA53O,,,,,,,,,,,,,,,,11,,,11,,,,,,
148,P11_14,,RLIN24TX,,PWGA54O,TAUB1I6,TAUB1O6,,_MEMC0BEN1,ETH0RXERR,,ETH0RRXERR,,CSIG2SSI,,,,,,,,,,,,,14,G3,J2,
148,P11_14,,RLIN24TX,,PWGA54O,TAUB1I6,TAUB1O6,,_MEMC0BEN1,,,,,,,,,,,,,14,,,14,G3,,,,
148,P11_14,,RLIN24TX,,PWGA54O,,,,,,,,,,,,,,,,12,,,12,,,,,,
149,P11_15,CAN2RX_INTP2,CSIH2CSS4,,PWGA55O,TAUB1I8,TAUB1O8,,_MEMC0ASTB,,,,,,,,,,,,,168,,,168,D5,168,D5,A5,
149,P11_15,CAN2RX_INTP2,CSIH2CSS4,,PWGA55O,,,,,,,,,,,,,,,,136,,,136,,,,,,
150,P12_0,,CAN2TX,,PWGA56O,TAUB1I10,TAUB1O10,,MEMC0A16,,,,,,,,,,,,,169,,,169,B4,169,B4,D7,
150,P12_0,,CAN2TX,,PWGA56O,,,,,,,,,,,,,,,,137,,,137,,,,,,
151,P12_1,RLIN34RX_INTP14,CSIH2CSS5,,PWGA57O,TAUB1I12,TAUB1O12,,MEMC0A17,,,,,,,,,,,,,170,,,170,C5,170,C5,B5,
151,P12_1,RLIN34RX_INTP14,CSIH2CSS5,,PWGA57O,,,,,,,,,,,,,,,,138,,,138,,,,,,
152,P12_2,,RLIN34TX,,PWGA58O,TAUB1I14,TAUB1O14,,MEMC0A18,,,,,,,,,,,,,171,,,171,A3,171,A3,C5,
152,P12_2,,RLIN34TX,,PWGA58O,,,,,,,,,,,,,,,,139,,,139,,,,,,
153,P12_3,RLIN27RX,,ETH0REFCLK,PWGA68O,CSIG2SI,,,,,,,,,,,,,,,,,,,,,15,H2,L1,
153,P12_3,RLIN27RX,,,PWGA68O,,,,,,,,,,,,,,,,,15,,,15,H2,,,,
154,P12_4,,RLIN27TX,,PWGA69O,CSIG2SC,CSIG2SC,ETH0MDIO,ETH0MDIO,,,,,,,,,,,,,,,,,,16,H1,N3,
154,P12_4,,RLIN27TX,,PWGA69O,,,,,,,,,,,,,,,,,16,,,16,H1,,,,
155,P12_5,,PWGA70O,,ETH0MDC,,CSIG2SO,,,,,,,,,,,,,,,,,,,,17,J3,L2,
155,P12_5,,PWGA70O,,,,,,,,,,,,,,,,,,,17,,,17,J3,,,,
156,P13_0,,MEMC0A19,,,,,,,,,,,,,,,,,,,,,,,C4,,C4,D6,
157,P13_1,,,,,,,,,,,,,,,,,,,,,,,,,B3,,B3,,
157,P13_1,,MEMC0A20,,,,,,,,,,,,,,,,,,,,,,,,,,A3,
158,P13_2,ETH0RXDV,,,,,,,,,,,,,,,,,,,,,,,,,,F1,K3,
158,P13_2,,,,,,,,,,,,,,,,,,,,,,,,,F1,,,,
159,P13_3,ETH0RXERR,,ETH0RRXERR,,,,,,,,,,,,,,,,,,,,,,,,G2,J1,
159,P13_3,,,,,,,,,,,,,,,,,,,,,,,,,G2,,,,
160,P13_4,,,,,,,,,,,,,,,,,,,,,,,,,,,G4,K1,
160,P13_4,,,,,,,,,,,,,,,,,,,,,,,,,G4,,,,
161,P13_5,,,,,,,,,,,,,,,,,,,,,,,,,G1,,G1,,
161,P13_5,,MEMC0A21,,,,,,,,,,,,,,,,,,,,,,,,,,L4,
162,P13_6,,,,PWGA72O,,,,,,,,,,,,,,,,,,,,,H4,,H4,,
162,P13_6,,MEMC0A22,,PWGA72O,,,,,,,,,,,,,,,,,,,,,,,,K2,
163,P13_7,,,,PWGA73O,,,,,,,,,,,,,,,,,,,,,H3,,H3,,
163,P13_7,,MEMC0A23,,PWGA73O,,,,,,,,,,,,,,,,,,,,,,,,M4,
164,P18_0,CSIG1RYI,CSIG1RYO,ETH0LINK,PWGA61O,,,,,,,,,,,ADCA1I0S,,,,,,,,,,,143,C14,A19,
164,P18_0,CSIG1RYI,CSIG1RYO,,PWGA61O,,,,,,,,,,,ADCA1I0S,,,,,115,143,,115,143,C14,,,,
165,P18_1,,PWGA62O,,ETH0TXD0,,ETH0RTXD0,,,,,,,,,ADCA1I1S,,,,,,,,,,,144,B15,B18,
165,P18_1,,PWGA62O,,,,,,,,,,,,,ADCA1I1S,,,,,116,144,,116,144,B15,,,,
166,P18_2,,PWGA63O,,ETH0TXD1,,ETH0RTXD1,,,,,,,,,ADCA1I2S,,,,,,,,,,,145,B14,B17,
166,P18_2,,PWGA63O,,,,,,,,,,,,,ADCA1I2S,,,,,117,145,,117,145,B14,,,,
167,P18_3,,PWGA71O,,ETH0TXD2,,,,,,,,,,,ADCA1I3S,,,,,,,,,,,146,B13,A17,
167,P18_3,,PWGA71O,,,,,,,,,,,,,ADCA1I3S,,,,,,146,,,146,B13,,,,
167,P18_3,,,,,,,,,,,,,,,ADCA1I3S,,,,,118,,,118,,,,,,
168,P18_4,,CSIH1CSS4,,ETH0TXD3,,,,,,,,,,,ADCA1I4S,,,,,,,,,,,147,C11,B16,
168,P18_4,,CSIH1CSS4,,,,,,,,,,,,,ADCA1I4S,,,,,,147,,,147,C11,,,,
169,P18_5,,CSIH1CSS5,,ETH0TXEN,,ETH0RTXEN,,,,,,,,,ADCA1I5S,,,,,,,,,,,148,A14,D14,
169,P18_5,,CSIH1CSS5,,,,,,,,,,,,,ADCA1I5S,,,,,,148,,,148,A14,,,,
170,P18_6,,ETH0TXERR,,,,,,,,,,,,,ADCA1I6S,,,,,,,,,,,149,A13,A16,
170,P18_6,,,,,,,,,,,,,,,ADCA1I6S,,,,,,149,,,149,A13,,,,
171,P18_7,ETH0TXCLK,,,,,,,,,,,,,,ADCA1I7S,,,,,,,,,,,150,B11,B14,
171,P18_7,,,,,,,,,,,,,,,ADCA1I7S,,,,,,150,,,150,B11,,,,
172,P18_8,ETH0CRS,,ETH0RCRS,,,,,,,,,,,,ADCA1I8S,,,,,,,,,,,,A16,C17,
172,P18_8,,,,,,,,,,,,,,,ADCA1I8S,,,,,,,,,,A16,,,,
173,P18_9,ETH0COL,,,,,,,,,,,,,,ADCA1I9S,,,,,,,,,,,,C13,A18,
173,P18_9,,,,,,,,,,,,,,,ADCA1I9S,,,,,,,,,,C13,,,,
174,P18_10,,,,,,,,,,,,,,,ADCA1I10S,,,,,,,,,,,,A15,C16,
174,P18_10,,,,,,,,,,,,,,,ADCA1I10S,,,,,,,,,,A15,,,,
175,P18_11,,,,,,,,,,,,,,,ADCA1I11S,,,,,,,,,,B12,,B12,C15,
176,P18_12,,,,,,,,,,,,,,,ADCA1I12S,,,,,,,,,,C12,,C12,C14,
177,P18_13,,,,,,,,,,,,,,,ADCA1I13S,,,,,,,,,,A12,,A12,B15,
178,P18_14,,,,,,,,,,,,,,,ADCA1I14S,,,,,,,,,,C9,,C9,A15,
179,P18_15,,,,,,,,,,,,,,,ADCA1I15S,,,,,,,,,,A11,,A11,C13,
180,P19_0,,,,,,,,,,,,,,,ADCA1I16S,,,,,,,,,,C10,,C10,A14,
181,P19_1,,,,,,,,,,,,,,,ADCA1I17S,,,,,,,,,,B10,,B10,B13,
182,P19_2,,,,,,,,,,,,,,,ADCA1I18S,,,,,,,,,,A10,,A10,B12,
183,P19_3,,,,,,,,,,,,,,,ADCA1I19S,,,,,,,,,,B9,,B9,A13,
184,P20_0,RLIN26RX,,,PWGA64O,INTP6_CAN6RX,,CSIG3SI,,,,,,,,,,,,,,,,,,,118,G17,J19,
184,P20_0,RLIN26RX,,,PWGA64O,,,,,,,,,,,,,,,,,118,,,118,G17,,,,
185,P20_1,,RLIN26TX,,PWGA65O,,CAN6TX,,CSIG3SO,,,,,,,,,,,,,,,,,,117,H15,J20,
185,P20_1,,RLIN26TX,,PWGA65O,,,,,,,,,,,,,,,,,117,,,117,H15,,,,
186,P20_2,CAN4RX_INTP4,,,PWGA66O,RLIN29RX,,CSIG3SC,CSIG3SC,,,,,,,,,,,,,,,,,,116,H16,K20,
186,P20_2,CAN4RX_INTP4,,,PWGA66O,RLIN29RX,,,,,,,,,,,,,,,,116,,,116,H16,,,,
187,P20_3,,CAN4TX,,PWGA67O,,RLIN29TX,CSIG3RYI,CSIG3RYO,,,,,,,,,,,,,,,,,,115,H17,K18,
187,P20_3,,CAN4TX,,PWGA67O,,,,,,,,,,,,,,,,,115,,,,,,,,
187,P20_3,,CAN4TX,,PWGA67O,,RLIN29TX,,,,,,,,,,,,,,,,,,115,H17,,,,
188,P20_4,RLIN23RX,,,PWGA59O,INTP9_CAN7RX,,CSIG3SSI,,,,,,,,,,,,,,,,,,,120,F17,H20,
188,P20_4,RLIN23RX,,,PWGA59O,,,,,,,,,,,,,,,,100,120,,100,120,F17,,,,
189,P20_5,,RLIN23TX,,PWGA60O,,CAN7TX,,,,,,,,,,,,,,,,,,,,119,G16,J18,
189,P20_5,,RLIN23TX,,PWGA60O,,,,,,,,,,,,,,,,99,119,,99,119,G16,,,,
190,P20_6,,PWGA88O,,,,,,,,,,,,,,,,,,,,,,,,,,G19,
191,P20_7,,PWGA89O,,,,,,,,,,,,,,,,,,,,,,,,,,G20,
192,P20_8,,PWGA90O,,,,,,,,,,,,,,,,,,,,,,,,,,H18,
193,P20_9,,PWGA91O,,,,,,,,,,,,,,,,,,,,,,,,,,H19,
194,P20_10,,PWGA92O,,,,,,,,,,,,,,,,,,,,,,,,,,K19,
195,P20_11,,PWGA93O,,,,,,,,,,,,,,,,,,,,,,,,,,L20,
196,P20_12,,PWGA94O,,,,,,,,,,,,,,,,,,,,,,,,,,L19,
197,P20_13,,PWGA95O,,,,,,,,,,,,,,,,,,,,,,,,,,L18,
198,P20_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,M20,
199,P21_0,,,,,,,,,,,,,,,_MSYN,,,,,,,,,,,,,H3,
200,P21_1,,,,,,,,,,,,,,,_DBINT,,,,,,,,,,,,,B9,
201,P21_2,,,,,,,,,,,,,,,MSEO0,,,,,,,,,,,,,J3,
202,P21_3,,,,,,,,,,,,,,,MSEO1,,,,,,,,,,,,,H2,
203,P21_4,,,,,,,,,,,,,,,MCKO,,,,,,,,,,,,,G1,
204,P22_0,,,,,,,,,,,,,,,MDO0,,,,,,,,,,,,,F1,
205,P22_1,,,,,,,,,,,,,,,MDO1,,,,,,,,,,,,,F2,
206,P22_2,,,,,,,,,,,,,,,MDO2,,,,,,,,,,,,,E1,
207,P22_3,,,,,,,,,,,,,,,MDO3,,,,,,,,,,,,,D2,
208,P22_4,,,,,,,,,,,,,,,MDO4,,,,,,,,,,,,,C1,
209,P22_5,,,,,,,,,,,,,,,MDO5,,,,,,,,,,,,,C2,
210,P22_6,,,,,,,,,,,,,,,MDO6,,,,,,,,,,,,,B1,
211,P22_7,,,,,,,,,,,,,,,MDO7,,,,,,,,,,,,,A2,
212,P22_8,,,,,,,,,,,,,,,MDO8,,,,,,,,,,,,,B4,
213,P22_9,,,,,,,,,,,,,,,MDO9,,,,,,,,,,,,,A4,
214,P22_10,,,,,,,,,,,,,,,MDO10,,,,,,,,,,,,,C6,
215,P22_11,,,,,,,,,,,,,,,MDO11,,,,,,,,,,,,,B6,
216,P22_12,,,,,,,,,,,,,,,MDO12,,,,,,,,,,,,,A6,
217,P22_13,,,,,,,,,,,,,,,MDO13,,,,,,,,,,,,,A7,
218,P22_14,,,,,,,,,,,,,,,MDO14,,,,,,,,,,,,,C8,
219,P22_15,,,,,,,,,,,,,,,MDO15,,,,,,,,,,,,,A8,
